date,gross_return,net_return,cost,turnover,long_return,short_return,gross_exposure,net_exposure,long_names,short_names,benchmark_return
2010-08-13,-0.00516875011,-0.00516875011,0,0,-0.002972149356,-0.002196600754,0.9797975442,0.01655929177,7,7,-0.002945625831
2010-08-16,0.008449489539,0.008449489539,0,0,0.004359542582,0.004089946957,0.9841086071,0.01144972241,7,7,-0.0004618739734
2010-08-17,-0.002829293066,-0.002829293066,0,0,0.003682320114,-0.006511613179,0.9761303991,0.01973248254,7,7,0.01228514153
2010-08-18,-0.001796172143,-0.001796172143,0,0,-0.002952782557,0.001156610414,0.9891228508,0.01695114925,7,7,0.001825455633
2010-08-19,-0.0003816095681,-0.0003816095681,0,0,-0.003479727311,0.003098117743,0.9867858952,0.01518224703,7,7,-0.01739712278
2010-08-20,0.01368119986,0.01368119986,0,0,0.01175734047,0.001923859398,0.9805822497,0.01480628769,7,7,-0.00324412666
2010-08-23,-0.004193049701,-0.004193049701,0,0,-0.005525065479,0.001332015778,0.9770485345,0.02810300473,7,7,-0.003813010939
2010-08-24,-0.002463989021,-0.002463989021,0,0,-0.008454024722,0.005990035702,0.9742766436,0.0240106328,7,7,-0.01484303922
2010-08-25,-0.00137860616,-0.00137860616,0,0,0.002441347087,-0.003819953248,0.9622034419,0.02159986561,7,7,0.003884794839
2010-08-26,0.003082362904,0.003082362904,0,0,-0.0007490603157,0.00383142322,0.9698017169,0.02024917509,7,7,-0.006701854375
2010-08-27,-0.004021953407,-0.004021953407,0,0,0.003986408334,-0.008008361741,0.9622552136,0.02325984272,7,7,0.01548979273
2010-08-30,0.0003338781913,0.0003338781913,0,0,-0.007069620568,0.00740349876,0.9781841949,0.01931557565,7,7,-0.01450517544
2010-08-31,0.006725168919,0.006725168919,0,0,0.00345510419,0.00327006473,0.9633894209,0.01964289551,7,7,0
2010-09-01,0.01046665018,0.009850597409,0.0006160527755,0.6160527755,0.02189692587,-0.01143027569,0.9571375486,0.02619191935,7,7,0.02991208785
2010-09-02,-0.001559474902,-0.001559474902,0,0,0.004412952028,-0.00597242693,1,0,7,7,0.009311870058
2010-09-03,-0.002156355529,-0.002156355529,0,0,0.006493543035,-0.008649898564,1.011963511,-0.001561910663,7,7,0.0129716765
2010-09-07,-0.0003544478573,-0.0003544478573,0,0,-0.004191197286,0.003836749429,1.029326546,-0.003726301422,7,7,-0.01127217011
2010-09-08,-0.0007351801679,-0.0007351801679,0,0,0.005697097594,-0.006432277762,1.021660725,-0.004082196205,7,7,0.007023267983
